id;fecha_inicio;fecha_fin;lenguaje
1;2026-03-12T04:21:18;2026-03-12T21:18:26;ESPANOL
2;2026-03-12T03:24:24;2026-03-12T11:25:47;INGLES
3;2026-03-12T03:53:01;2026-03-12T16:40:59;PORTUGUES
4;2026-03-12T22:18:07;2026-03-12T05:46:38;INGLES
5;2026-03-12T16:24:45;2026-03-12T19:06:59;INGLES
6;2026-03-12T04:57:45;2026-03-12T13:28:36;PORTUGUES
7;2026-03-12T23:14:57;2026-03-12T17:51:06;PORTUGUES
8;2026-03-12T23:03:35;2026-03-12T21:44:04;ESPANOL
9;2026-03-12T21:41:38;2026-03-12T05:58:33;PORTUGUES
10;2026-03-12T16:36:27;2026-03-12T10:11:22;PORTUGUES
